Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,2221,272,585,0.465,108,249,0.434,164,336,0.488,0.557,72,98,0.735,59,193,252,138,46,30,74,225,724
2,Alexis Ajinca,C,21,CHA,6,0,30,5,10,0.5,0,0,,5,10,0.5,0.5,0,1,0,1,3,4,0,1,1,2,5,10
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393
4,Joe Alexander,SF,23,CHI,8,0,29,1,6,0.167,0,1,0,1,5,0.2,0.167,2,3,0.667,2,3,5,2,1,1,0,9,4
5,Malik Allen,PF,31,DEN,51,3,456,46,116,0.397,1,6,0.167,45,110,0.409,0.401,12,13,0.923,36,46,82,16,11,5,22,68,105
6,Ray Allen,SG,34,BOS,80,80,2819,464,973,0.477,145,399,0.363,319,574,0.556,0.551,231,253,0.913,45,208,253,210,64,25,129,182,1304
7,Tony Allen,SG,28,BOS,54,8,889,129,253,0.51,0,5,0,129,248,0.52,0.51,72,119,0.605,52,93,145,72,59,19,66,109,330
8,Rafer Alston,PG,33,TOT,52,38,1421,155,446,0.348,58,168,0.345,97,278,0.349,0.413,59,81,0.728,13,116,129,176,50,10,95,103,427
8,Rafer Alston,PG,33,NJN,27,13,766,95,277,0.343,28,87,0.322,67,190,0.353,0.394,44,54,0.815,9,66,75,104,27,5,61,50,262
8,Rafer Alston,PG,33,MIA,25,25,655,60,169,0.355,30,81,0.37,30,88,0.341,0.444,15,27,0.556,4,50,54,72,23,5,34,53,165
9,Louis Amundson,PF,27,PHO,79,0,1168,152,276,0.551,0,1,0,152,275,0.553,0.551,67,123,0.545,128,218,346,31,24,73,57,169,371
10,Chris Andersen,PF,31,DEN,76,0,1695,142,251,0.566,0,3,0,142,248,0.573,0.566,164,236,0.695,147,336,483,33,42,143,59,171,448
11,David Andersen,C,29,HOU,63,0,891,147,340,0.432,27,78,0.346,120,262,0.458,0.472,46,67,0.687,54,154,208,44,15,12,37,119,367
12,Antonio Anderson,SF,24,OKC,1,0,15,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,0,1,1,2
13,Ryan Anderson,PF,21,ORL,63,6,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487
14,Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943
15,Joel Anthony,C,27,MIA,80,16,1322,76,159,0.478,0,0,,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218
16,Gilbert Arenas,PG,28,WAS,32,32,1169,253,616,0.411,63,181,0.348,190,435,0.437,0.462,153,207,0.739,17,116,133,230,41,9,117,95,722
17,Trevor Ariza,SF,24,HOU,72,71,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,28,79,0.354,0,1,0,28,78,0.359,0.354,15,32,0.469,27,54,81,21,15,12,22,59,71
18,Hilton Armstrong,PF,25,NOH,18,0,239,19,50,0.38,0,0,,19,50,0.38,0.38,13,28,0.464,17,44,61,16,8,8,13,44,51
